Scores & Fixtures 2021-2022 Süper Lig,,,,,,
,,,,,,
Wk,Day,Date,Home,Score,Away,Referee
24,Fri,2022-02-04,Kayserispor,4–3,Hatayspor,Kadir Sağlam
24,Fri,2022-02-04,Konyaspor,1–0,Giresunspor,Cüneyt Çakιr
24,Sat,2022-02-05,Gaziantep FK,5–1,Sivasspor,Mustafa Kürşad Filiz
24,Sat,2022-02-05,Trabzonspor,1–0,Kasımpaşa,Zorbay Küçük
24,Sat,2022-02-05,Fatih Karagümrük,1–0,Yeni Mal'spor,Ali Palabıyık
24,Sat,2022-02-05,Fenerbahçe,0–1,Başakşehir,Yaşar Kemal Uğurlu
24,Sun,2022-02-06,Alanyaspor,1–1,Galatasaray,Mete Kalkavan
24,Sun,2022-02-06,Rizespor,1–3,Adana Demirspor,Halil Umut Meler
24,Sun,2022-02-06,Göztepe,0–2,Altay,Sarper Barış Saka
24,Sun,2022-02-06,Beşiktaş,0–0,Antalyaspor,Abdulkadir Bitigen
,,,,,,
25,Fri,2022-02-11,Altay,0–0,Rizespor,Fırat Aydınus
25,Sat,2022-02-12,Giresunspor,1–2,Fenerbahçe,Zorbay Küçük
25,Sat,2022-02-12,Başakşehir,2–0,Gaziantep FK,Cüneyt Çakιr
25,Sat,2022-02-12,Galatasaray,1–1,Kayserispor,Sarper Barış Saka
25,Sun,2022-02-13,Sivasspor,2–1,Yeni Mal'spor,Arda Kardeşler
25,Sun,2022-02-13,Antalyaspor,3–0,Fatih Karagümrük,Halil Umut Meler
25,Sun,2022-02-13,Trabzonspor,2–1,Konyaspor,Mete Kalkavan
25,Sun,2022-02-13,Kasımpaşa,2–2,Alanyaspor,Yaşar Kemal Uğurlu
25,Mon,2022-02-14,Adana Demirspor,1–1,Beşiktaş,Ali Şansalan
25,Mon,2022-02-14,Hatayspor,2–1,Göztepe,Atilla Karaoğlan
,,,,,,
26,Fri,2022-02-18,Rizespor,0–2,Başakşehir,Suat Arslanboga
